meta_id,calendario_sk,periodo_operativo_sort,mes_operativo_dt,contrato_sk,equipo_sk,tipo_maquina,meta_metraje_m,proyectado_m
314,20250601,202506,2025-06-01,12,53,SUPERFICIE,800.0,0.0
315,20250601,202506,2025-06-01,12,60,MINA,800.0,0.0
316,20250601,202506,2025-06-01,12,62,MINA,800.0,0.0
317,20250601,202506,2025-06-01,17,82,MINA,850.0,0.0
318,20250601,202506,2025-06-01,17,80,MINA,850.0,0.0
319,20250601,202506,2025-06-01,17,81,MINA,850.0,0.0
320,20250601,202506,2025-06-01,7,31,MINA,900.0,0.0
321,20250601,202506,2025-06-01,7,33,MINA,900.0,0.0
322,20250601,202506,2025-06-01,7,26,MINA,900.0,0.0
323,20250601,202506,2025-06-01,7,25,MINA,900.0,0.0
324,20250601,202506,2025-06-01,2,5,SUPERFICIE,900.0,0.0
325,20250601,202506,2025-06-01,2,8,MINA,900.0,0.0
326,20250601,202506,2025-06-01,2,9,MINA,900.0,0.0
327,20250601,202506,2025-06-01,2,4,SUPERFICIE,900.0,0.0
328,20250601,202506,2025-06-01,10,51,MINA,1600.0,0.0
329,20250601,202506,2025-06-01,10,48,SUPERFICIE,750.0,0.0
330,20250601,202506,2025-06-01,10,45,MINA,900.0,0.0
331,20250601,202506,2025-06-01,14,68,MINA,1150.0,0.0
332,20250601,202506,2025-06-01,14,69,MINA,1150.0,0.0
333,20250601,202506,2025-06-01,14,67,MINA,1150.0,0.0
334,20250601,202506,2025-06-01,15,73,MINA,900.0,0.0
335,20250601,202506,2025-06-01,15,72,MINA,835.0,0.0
336,20250601,202506,2025-06-01,15,71,MINA,900.0,0.0
337,20250601,202506,2025-06-01,15,70,MINA,900.0,0.0
338,20250601,202506,2025-06-01,20,89,MINA,1150.0,0.0
339,20250601,202506,2025-06-01,20,90,MINA,1150.0,0.0
340,20250601,202506,2025-06-01,20,87,MINA,1150.0,0.0
341,20250801,202508,2025-08-01,4,18,MINA,750.0,0.0
342,20250801,202508,2025-08-01,4,19,MINA,750.0,0.0
343,20250801,202508,2025-08-01,4,17,MINA,750.0,0.0
344,20250801,202508,2025-08-01,4,15,MINA,750.0,0.0
345,20250801,202508,2025-08-01,4,21,MINA,750.0,0.0
346,20250701,202507,2025-07-01,1,2,MINA,1100.0,0.0
347,20250701,202507,2025-07-01,1,3,MINA,1100.0,0.0
348,20250701,202507,2025-07-01,13,65,MINA,850.0,0.0
349,20250701,202507,2025-07-01,13,64,MINA,850.0,0.0
350,20250701,202507,2025-07-01,8,40,MINA,1050.0,0.0
351,20250701,202507,2025-07-01,8,43,MINA,1050.0,0.0
352,20250701,202507,2025-07-01,8,42,MINA,1050.0,0.0
353,20250701,202507,2025-07-01,8,41,MINA,1050.0,0.0
354,20250701,202507,2025-07-01,8,34,MINA,1050.0,0.0
355,20250701,202507,2025-07-01,11,52,SUPERFICIE,760.0,0.0
356,20250701,202507,2025-07-01,9,44,MINA,1050.0,0.0
357,20250701,202507,2025-07-01,16,74,SUPERFICIE,900.0,0.0
358,20250701,202507,2025-07-01,16,76,MINA,900.0,0.0
359,20250701,202507,2025-07-01,16,75,MINA,1000.0,0.0
360,20250701,202507,2025-07-01,16,77,MINA,1000.0,0.0
361,20250701,202507,2025-07-01,12,54,SUPERFICIE,800.0,0.0
362,20250701,202507,2025-07-01,12,53,SUPERFICIE,800.0,0.0
363,20250701,202507,2025-07-01,12,60,MINA,800.0,0.0
364,20250701,202507,2025-07-01,12,62,MINA,800.0,0.0
365,20250701,202507,2025-07-01,17,82,MINA,850.0,0.0
366,20250701,202507,2025-07-01,17,80,MINA,850.0,0.0
367,20250701,202507,2025-07-01,17,81,MINA,850.0,0.0
368,20250701,202507,2025-07-01,7,31,MINA,900.0,0.0
369,20250701,202507,2025-07-01,7,33,MINA,900.0,0.0
370,20250701,202507,2025-07-01,7,26,MINA,900.0,0.0
371,20250701,202507,2025-07-01,7,25,MINA,900.0,0.0
372,20250701,202507,2025-07-01,2,5,SUPERFICIE,900.0,0.0
373,20250701,202507,2025-07-01,2,8,MINA,900.0,0.0
374,20250701,202507,2025-07-01,2,9,MINA,900.0,0.0
375,20250701,202507,2025-07-01,2,4,SUPERFICIE,900.0,0.0
376,20250701,202507,2025-07-01,10,51,MINA,1600.0,0.0
377,20250701,202507,2025-07-01,10,48,SUPERFICIE,750.0,0.0
378,20250701,202507,2025-07-01,10,45,MINA,900.0,0.0
379,20250701,202507,2025-07-01,14,68,MINA,1150.0,0.0
380,20250701,202507,2025-07-01,14,69,MINA,1150.0,0.0
381,20250701,202507,2025-07-01,14,67,MINA,1150.0,0.0
382,20250701,202507,2025-07-01,15,73,MINA,900.0,0.0
383,20250701,202507,2025-07-01,15,72,MINA,835.0,0.0
384,20250701,202507,2025-07-01,15,71,MINA,900.0,0.0
385,20250701,202507,2025-07-01,15,70,MINA,900.0,0.0
386,20250701,202507,2025-07-01,20,89,MINA,1150.0,0.0
387,20250701,202507,2025-07-01,20,90,MINA,1150.0,0.0
388,20250701,202507,2025-07-01,20,87,MINA,1150.0,0.0
389,20250901,202509,2025-09-01,4,18,MINA,750.0,0.0
390,20250901,202509,2025-09-01,4,19,MINA,750.0,0.0
391,20250901,202509,2025-09-01,4,17,MINA,750.0,0.0
392,20250901,202509,2025-09-01,4,15,MINA,750.0,0.0
393,20250901,202509,2025-09-01,4,21,MINA,750.0,0.0
