hora_evento_id,calendario_sk,contrato_sk,equipo_sk,actividad_sk,turno_guardia,horas_reportadas,es_cobrable,categoria_disponibilidad,id_clave_unica
2398,20260829,15,72,50,A,0.5,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-A
2399,20260829,15,72,55,A,1.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-A
2400,20260829,15,72,58,A,2.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-A
2401,20260829,15,72,59,A,1.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-A
2402,20260829,15,72,1,B,3.5,True,Tiempo Efectivo - Operativo,20260829-RAURA-XRD90USS-001-B
2403,20260829,15,72,5,B,0.5,False,Mantenimiento,20260829-RAURA-XRD90USS-001-B
2404,20260829,15,72,8,B,0.5,True,Stand By Operativo,20260829-RAURA-XRD90USS-001-B
2405,20260829,15,72,48,B,0.5,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-B
2406,20260829,15,72,55,B,1.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-B
2407,20260829,15,72,56,B,3.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-B
2408,20260829,15,72,58,B,2.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-B
2409,20260829,15,72,59,B,1.0,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-B
2410,20260830,15,72,5,A,3.5,False,Mantenimiento,20260830-RAURA-XRD90USS-001-A
2411,20260830,15,72,6,A,3.5,False,Mantenimiento,20260830-RAURA-XRD90USS-001-A
2412,20260830,15,72,47,A,0.5,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-A
2413,20260830,15,72,48,A,0.5,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-A
2414,20260830,15,72,55,A,1.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-A
2415,20260830,15,72,58,A,2.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-A
2416,20260830,15,72,59,A,1.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-A
2417,20260830,15,72,1,B,4.0,True,Tiempo Efectivo - Operativo,20260830-RAURA-XRD90USS-001-B
2418,20260830,15,72,5,B,0.5,False,Mantenimiento,20260830-RAURA-XRD90USS-001-B
2419,20260830,15,72,7,B,0.5,True,Stand By Operativo,20260830-RAURA-XRD90USS-001-B
2420,20260830,15,72,8,B,1.0,True,Stand By Operativo,20260830-RAURA-XRD90USS-001-B
2421,20260830,15,72,9,B,1.0,True,Stand By Operativo,20260830-RAURA-XRD90USS-001-B
2422,20260830,15,72,47,B,0.5,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-B
2423,20260830,15,72,48,B,0.5,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-B
2424,20260830,15,72,55,B,1.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-B
2425,20260830,15,72,58,B,2.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-B
2426,20260830,15,72,59,B,1.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-001-B
2427,20260831,15,72,1,A,3.5,True,Tiempo Efectivo - Operativo,20260831-RAURA-XRD90USS-001-A
2428,20260831,15,72,5,A,0.5,False,Mantenimiento,20260831-RAURA-XRD90USS-001-A
2429,20260831,15,72,55,A,1.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-001-A
2430,20260831,15,72,58,A,2.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-001-A
2431,20260831,15,72,59,A,1.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-001-A
2432,20260831,15,72,61,A,4.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-001-A
2433,20260831,15,72,1,B,5.5,True,Tiempo Efectivo - Operativo,20260831-RAURA-XRD90USS-001-B
2434,20260831,15,72,5,B,0.5,False,Mantenimiento,20260831-RAURA-XRD90USS-001-B
2435,20260831,15,72,7,B,0.5,True,Stand By Operativo,20260831-RAURA-XRD90USS-001-B
2436,20260831,15,72,8,B,0.5,True,Stand By Operativo,20260831-RAURA-XRD90USS-001-B
2437,20260831,15,72,47,B,0.5,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-001-B
2438,20260831,15,72,48,B,0.5,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-001-B
2439,20260831,15,72,55,B,1.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-001-B
2440,20260831,15,72,58,B,2.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-001-B
2441,20260831,15,72,59,B,1.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-001-B
2442,20260826,15,71,5,A,0.5,False,Mantenimiento,20260826-RAURA-XRD150UBT-001-A
2443,20260826,15,71,6,A,1.0,False,Mantenimiento,20260826-RAURA-XRD150UBT-001-A
2444,20260826,15,71,9,A,1.0,True,Stand By Operativo,20260826-RAURA-XRD150UBT-001-A
2445,20260826,15,71,47,A,0.5,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-A
2446,20260826,15,71,50,A,3.0,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-A
2447,20260826,15,71,51,A,2.0,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-A
2448,20260826,15,71,52,A,0.5,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-A
2449,20260826,15,71,55,A,0.5,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-A
2450,20260826,15,71,58,A,2.0,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-A
2451,20260826,15,71,59,A,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-A
2452,20260826,15,71,5,B,0.5,False,Mantenimiento,20260826-RAURA-XRD150UBT-001-B
2453,20260826,15,71,18,B,2.0,True,Stand By Operativo,20260826-RAURA-XRD150UBT-001-B
2454,20260826,15,71,21,B,2.0,True,Stand By Operativo,20260826-RAURA-XRD150UBT-001-B
2455,20260826,15,71,23,B,1.0,True,Stand By Operativo,20260826-RAURA-XRD150UBT-001-B
2456,20260826,15,71,47,B,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-B
2457,20260826,15,71,50,B,1.5,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-B
2458,20260826,15,71,55,B,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-B
2459,20260826,15,71,58,B,2.0,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-B
2460,20260826,15,71,59,B,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD150UBT-001-B
2461,20260827,15,71,1,A,5.5,True,Tiempo Efectivo - Operativo,20260827-RAURA-XRD150UBT-001-A
2462,20260827,15,71,5,A,0.5,False,Mantenimiento,20260827-RAURA-XRD150UBT-001-A
2463,20260827,15,71,9,A,0.5,True,Stand By Operativo,20260827-RAURA-XRD150UBT-001-A
2464,20260827,15,71,47,A,0.5,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-A
2465,20260827,15,71,48,A,0.5,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-A
2466,20260827,15,71,50,A,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-A
2467,20260827,15,71,55,A,0.5,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-A
2468,20260827,15,71,58,A,2.0,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-A
2469,20260827,15,71,59,A,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-A
2470,20260827,15,71,1,B,4.0,True,Tiempo Efectivo - Operativo,20260827-RAURA-XRD150UBT-001-B
2471,20260827,15,71,5,B,0.5,False,Mantenimiento,20260827-RAURA-XRD150UBT-001-B
2472,20260827,15,71,8,B,0.5,True,Stand By Operativo,20260827-RAURA-XRD150UBT-001-B
2473,20260827,15,71,47,B,0.5,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-B
2474,20260827,15,71,48,B,0.5,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-B
2475,20260827,15,71,55,B,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-B
2476,20260827,15,71,58,B,2.0,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-B
2477,20260827,15,71,59,B,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD150UBT-001-B
2478,20260827,15,71,69,B,2.0,True,Stand By Cliente,20260827-RAURA-XRD150UBT-001-B
